HTB045	How to buy Brian Eno	Mojo
HTB046	How to buy Prince	Mojo
HTB047	How to buy John Martyn	Mojo
HTB048	How to buy Dub	Mojo
HTB049	How to buy The Fall	Mojo
HTB050	How to buy James Brown	Mojo
HTB051	How to buy Americana	Mojo
HTB052	How to buy Elvis Presley	Mojo
HTB053	How to buy Krautrock	Mojo
HTB054	How to buy The Grateful dead	Mojo
HTB055	How to buy Classic crooners	Mojo
HTB056	How to buy Byrds	Mojo
HTB057	How to buy Creation records	Mojo
HTB058	How to buy Wu-tang clan	Mojo
HTB059	How to buy Stax and Volt records	Mojo
HTB060	How to buy Hawkwind	Mojo
HTB061	How to buy Chicago blues	Mojo
HTB062	How to buy the Kinks	Mojo
HTB063	How to buy Original ska	Mojo
HTB064	How to buy Sonic youth	Mojo
HTB065	How to buy British jazz	Mojo
HTB066	Captain Beefheart	Mojo
HTB067	How to buy The SST label	Mojo
HTB068	How to buy Elvis Costello	Mojo
HTB069	How to buy The 4AD label	Mojo
HTB070	How to buy Johnny Cash	Mojo
HTB071	How to buy Old-time music	Mojo
HTB072	How to buy the Rolling stones	Mojo
HTB073	How to buy Miles Davis	Mojo
HTB074	How to buy Tropicalia	Mojo
HTB075	How to buy Queen	Mojo
HTB076	Hot to buy Horror soundtracks	Mojo
HTB077	How to buy Lou Reed	Mojo
HTB078	How to buy Gong	Mojo
HTB079	How to buy Rough trade records	Mojo
HTB080	How to buy Boogie woogie	Mojo
HTB081	How to buy The Ramones	Mojo
HTB082	How to buy Jazz rock fusion	Mojo
HTB083	How to buy Stevie Wonder	Mojo
HTB084	How to buy U2	Mojo
HTB085	How to buy Goth	Mojo
HTB085	How to buy Goth	Mojo
HTB086	How to buy John Fahey	Mojo
HTB087	How to buy John Barry	Mojo
HTB088	How to buy The Canterbury scene	Mojo
HTB089	How to buy Paul Weller	Mojo
HTB090	How to buy Post-rock	Mojo
HTB091	How to buy AC/DC	Mojo
HTB092	How to buy Afrobeat	Mojo
HTB093	How to buy Can	Mojo
HTB094	How to buy On-U sound	Mojo
HTB095	How to buy Steely dan	Mojo
HTB096	How to buy Classic soul divas	Mojo
HTB097	How to buy Björk	Mojo
HTB098	How to buy '90s Americana	Mojo
HTB099	How to buy The Go-betweens	Mojo
HTB100	How to buy Highlife	Mojo
HTB101	How to buy Some bizarre	Mojo
HTB102	How to buy Genesis	Mojo
HTB103	How to buy Robert Wyatt	Mojo
HTB104	How to buy Nick Cave	Mojo
HTB105	How to buy King Crimson	Mojo
HTB106	How to buy Thin lizzy	Mojo
HTB107	How to buy Willie Nelson	Mojo
HTB108	How to buy US hardcore punk	Mojo
HTB109	How to buy The Cure	Mojo
HTB110	How to buy Bert Jansch	Mojo
HTB111	How to buy Warp label albums	Mojo
HTB112	How to buy Brill building albums	Mojo
HTB113	How to buy CSNY	Mojo
HTB114	How to buy Topic records	Mojo
HTB115	How to buy Hammill/VDGG	Mojo
HTB116	How to buy ECM	Mojo
HTB117	How to buy Deep purple	Mojo
HTB118	How to buy The Stranglers	Mojo
HTB119	How to buy Country blues	Mojo
HTB120	How to buy Frank Zappa	Mojo
HTB121	How to buy Ray Charles	Mojo
HTB122	How to buy Bob Marley & the Wailers	Mojo
HTB123	How to buy Fairport convention	Mojo
HTB124	How to buy Surf	Mojo
HTB125	How to buy Dr. John	Mojo
HTB126	How to buy Synth pop	Mojo
HTB127	How to buy The Smiths & Morrissey	Mojo
HTB128	How to buy Jefefrson airplane	Mojo
HTB129	Mojo - How to buy Impulse!	Mojo
HTB130	Mojo - How to buy XTC	Mojo
HTB131	How to buy Tangerine dream	Mojo
IN	Incoming	Mojo
MAO	Also out	Mojo
MIM	The month in music	Mojo
SRI	Soul Re-Issues	Mojo
hvdw	Heruitgave van de week	Muziekweb CDR
tvdw	Tip van de week	Muziekweb CDR
C	Compilaties	Oor
D	Dvd's	Oor
DC	Dance-compilaties	Oor
DD	De Draai	Oor
E	Elpee-oase	Oor
F	Fonos	Oor
H	Hoort zegt 't voort!	Oor
LP	Platen	Oor
O	Ondergronds	Oor
OA	Oase	Oor
OO	OORdeel	Oor
OP	Ons Poporgaan	Oor
P	Play	Oor
PD	Play Dvd's	Oor
PR	Play Reissues	Oor
PVB	Play Voor beginnes	Oor
Sp	Special	Oor
V	Video	Oor
x	Doorgedraaid	Oor
y	Elpees	Oor
z	Recensies	Oor
AN	Albums Nieuw	Revolver
AO	Albums Opnieuw	Revolver
MK	Miskend	Revolver
PP	Pscycho Plaat	Revolver
RDM	Dvd Muziek	Revolver
AN	Albums Nieuw	Revolver's Lust for life
AO	Albums Opnieuw	Revolver's Lust for life
MD	Muziek-dvd's	Revolver's Lust for life
